#{"t_start": 1761360662.7164114, "env_id": "None"}
r,l,t
202.85898,567,503.74194
193.47931,465,504.60924
199.99905,537,504.763914
206.7388,611,504.879004
256.01004,481,505.21308
207.92885,621,506.616062
247.19986,497,507.52276
196.75919,501,507.772182
257.1699,497,508.114317
257.4001,497,508.981995
226.91974,497,509.143188
197.2092,505,509.325423
273.8596,573,510.239336
196.42921,497,510.958055
255.72989,483,511.702988
257.08987,497,512.405415
269.14948,627,513.186328
186.27916,497,513.431643
273.8996,573,514.278311
256.96985,497,514.538549
270.23932,643,514.550562
285.68015,585,516.011628
257.35983,501,516.030285
257.1699,497,516.736967
257.01984,497,517.529447
196.3292,497,517.778682
257.01984,497,518.795863
226.90977,497,519.074795
247.07993,497,519.086813
199.97905,537,521.044007
260.57968,537,521.780985
251.81024,437,521.957979
214.69844,701,522.572922
257.76993,501,523.782992
211.76855,669,523.903071
264.62006,575,524.51721
210.80872,653,524.963386
193.96928,471,525.513021
254.5203,465,526.209886
196.99919,503,526.75501
259.0298,519,527.512451
255.2804,469,528.187286
251.22974,541,528.997664
200.04907,537,529.594562
202.52907,561,530.801494
197.2292,505,531.005593
194.03929,471,531.235462
213.70851,689,531.524103
233.9,459,532.722471
210.86864,657,533.92251
153.1191,461,534.115824
261.5698,543,534.347966
257.61996,499,536.351955
201.98912,555,536.630949
245.00992,475,537.284898
215.65846,709,537.864018
283.70886,791,538.410615
200.26912,537,539.279141
207.56886,617,539.58517
211.3487,659,540.126225
97.91851,519,541.20049
206.30891,603,541.768929
198.9292,521,541.874189
204.50897,583,542.984809
203.06906,567,543.395144
97.91851,519,544.146228
205.80884,601,545.436131
97.91851,519,545.848924
231.32796,881,547.051548
97.91851,519,547.535654
211.72864,665,547.694456
97.91851,519,547.949825
256.42957,597,549.37912
231.32796,881,549.46089
202.65907,563,550.698001
212.60869,673,551.26772
193.47931,465,551.524665
267.62946,613,552.966823
192.14922,449,553.323539
210.82863,657,553.609006
263.20972,561,554.217855
294.28894,901,554.954154
259.72,521,555.369083
278.2004,501,556.1799
264.53976,577,556.605076
257.31006,497,557.631618
196.29918,497,558.016919
260.75974,537,559.295204
306.87057,485,559.458471
270.16937,643,559.628224
196.30919,497,559.984243
257.0604,491,560.616267
275.08963,583,561.806341
299.40054,515,562.226293
274.74954,583,563.169397
284.14023,459,563.518652
266.10013,481,563.55883
260.71982,537,564.398782
254.08957,575,565.085799
197.12918,505,565.097307
196.76929,497,566.216094
278.20084,499,566.649053
260.61972,537,567.918817
199.89903,537,568.265877
263.8101,567,568.49575
203.70894,577,569.405486
282.89066,549,569.819843
254.57034,463,570.211391
193.4393,465,570.666179
274.90924,691,571.056297
257.80994,501,572.23503
196.28918,497,572.557057
245.50989,481,572.649207
200.11908,537,574.05504
196.76929,497,574.130128
247.30988,497,574.531725
194.15927,473,574.77037
256.99985,497,575.363587
249.15985,517,577.100462
264.71954,583,577.273471
251.60968,547,577.287989
196.30919,497,578.335408
257.85983,505,578.478075
196.8592,501,578.835519
257.10986,497,579.64342
270.1393,643,580.29963
196.29918,497,581.557609
256.99985,497,581.571624
207.92888,621,582.456004
257.03986,497,582.62076
196.42921,497,582.760936
199.91904,537,583.454175
260.81973,537,584.251807
260.96002,537,584.902378
255.10004,471,585.608051
196.87917,503,585.893862
258.32986,509,586.983884
197.4992,507,587.817833
205.51881,599,587.919983
263.53967,673,588.269203
194.2493,473,588.3509
196.3792,497,589.206158
196.69917,501,589.974643
261.21988,541,590.59821
197.14919,505,591.404124
203.61891,577,593.350398
211.54865,663,593.577218
197.21915,507,593.617285
276.46933,709,594.431341
300.95996,751,594.452703
194.52927,477,594.73634
196.30919,497,595.699439
283.88928,789,596.784508
257.80994,501,597.673643
196.86917,503,597.917534
260.76984,537,598.249683
270.98972,541,599.111667
261.6297,547,599.149587
273.8596,573,599.681668
270.28937,643,601.249979
273.8396,573,601.750792
223.32962,457,601.894803
304.60028,573,602.657623
259.15982,519,602.763799
250.47018,529,603.699331
251.22983,539,603.82954
230.72939,539,604.358874
273.94962,573,606.223274
247.80981,505,606.271337
245.8899,485,606.865489
309.87048,521,607.285758
189.86905,643,607.341378
257.03986,497,608.051289
186.31917,497,608.174691
311.47003,539,609.120755
293.05026,557,611.158163
271.6797,549,611.678341
249.33945,523,611.866572
217.54887,725,612.561849
249.35928,635,612.87749
375.9003,587,613.139589
315.55017,585,613.249495
273.84958,573,614.119467
149.65903,531,615.830183
324.51025,573,616.709918
149.68909,531,617.241835
270.14935,643,617.515686
242.07007,549,618.040764
314.5502,573,618.403371
217.29881,725,619.383006
407.33994,603,619.489909
193.90977,465,621.036999
980.913,641,621.747945
139.60898,531,623.006069
521.5011,647,623.269025
244.95004,469,623.747384
139.60898,531,624.407916
570.79407,749,624.470994
295.54932,697,624.825569
285.6502,475,625.353717
244.31934,581,626.978305
139.60904,531,627.785347
255.79898,597,629.875743
327.6697,609,630.043614
260.86835,765,630.279611
862.86163,773,630.87374
314.0693,681,631.115545
273.93875,687,631.698814
478.2596,613,632.659948
370.80966,753,634.67969
313.2401,561,635.325943
478.3598,619,635.477636
226.32874,609,635.551333
251.30984,539,635.676815
186.03018,373,635.980636
261.8695,553,636.051725
253.2891,569,636.826368
175.62979,373,640.145157
214.18878,585,640.584244
208.11903,517,640.626313
253.60901,683,640.825383
214.13876,585,641.309292
218.60863,633,641.374989
223.79845,689,641.752162
863.2382,777,642.481302
153.67978,459,644.700317
463.27002,561,645.639516
416.1092,601,646.177162
425.57886,705,646.427353
264.5596,577,646.877135
927.40076,709,647.676817
257.92896,725,647.762496
415.86923,597,647.774518
214.41891,583,649.856685
420.10904,645,651.37416
217.71861,625,651.995898
164.70929,475,652.008971
221.30852,663,652.091242
266.3595,595,652.192931
420.51932,641,653.407899
419.80936,633,653.419955
419.9291,641,655.571314
202.37927,453,656.024153
214.13876,585,657.380986
274.79907,695,657.552226
221.63853,665,657.906413
201.48947,549,658.279328
216.62866,613,658.922457
349.43863,855,659.759238
243.99936,577,661.224522
271.7991,663,661.540118
490.20026,633,663.066109
269.72928,639,663.287885
355.2798,693,664.111553
188.87952,521,664.394664
307.63913,721,664.812557
373.19913,781,665.903639
464.58994,577,666.409247
295.49994,587,666.800627
301.8497,657,669.166945
535.2122,685,669.198989
243.26941,569,669.230022
244.31934,581,669.96189
318.8596,623,669.96189
244.31934,581,671.053658
570.5225,745,672.995216
381.6993,763,673.563099
187.25925,503,673.69286
289.49048,517,673.76757
265.9196,485,674.265435
256.26956,489,674.306395
474.62018,575,674.319149
321.7099,653,676.878341
278.16013,503,678.253834
318.08987,611,678.46439
277.7204,499,678.751712
256.97983,497,678.77173
189.82904,643,679.350159
270.1093,643,679.474335
235.25989,585,679.575593
276.53046,485,681.231569
177.65955,507,682.85482
257.74982,505,683.043579
245.53989,481,683.09384
229.52013,521,683.466906
274.75955,583,684.801194
317.9498,611,684.955909
275.31918,699,685.601826
226.95978,497,685.684945
257.99988,507,687.340898
279.8105,519,687.687305
257.14,497,687.868063
342.51047,549,687.917126
257.40988,499,689.363158
273.8996,573,689.889096
255.69992,481,689.962698
300.3804,527,690.29175
273.45047,449,691.340433
257.36993,497,692.097661
245.7399,483,692.19628
314.66025,573,692.940497
257.92023,503,694.323343
